outreach_rank,priority,total_score,company_name,company_domain,company_website,company_linkedin_url,founder_name,founder_first_name,founder_last_name,founder_current_title,founder_linkedin_url,founder_location,company_hq,us_based_status,employee_count,employee_range,estimated_revenue,total_funding,company_status,business_model,b2b_saas_evidence,affordability_evidence,founder_market_authority,founder_content_activity,content_gap,status_quo_need,buying_trigger,personalized_outreach_angle,qualification_reason,disqualification_risks,verification_status,last_verified_date,primary_evidence_url,additional_evidence_urls,research_notes
41,B,76,Repool,repool.com,https://repool.com,https://www.linkedin.com/company/repool,Kevin Fu,Kevin,Fu,Co-Founder & CEO,https://www.linkedin.com/in/kevinfu93/,"San Francisco, CA","San Francisco, CA, United States",US-based (Medium confidence),dataset 15; expanded with senior hires from Northern Trust and State Street,11-50,5M-10M (vendor estimate),$3.7M+ seed,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Hedge fund launch and administration platform - 'fund-in-a-box' formation plus ongoing fund administration, taking on incumbent fund administrators.","Probable: YC S21 with a $3.7M seed from Canaan, Matrix and Global Founders Capital; fund administration carries recurring per-fund fees and the company has hired senior fund-admin leadership","Hedge fund formation and administration, fund operations, emerging manager economics",Moderate - multiple podcast appearances; LinkedIn cadence not inspectable,"Moderate - already does interviews, but the material lives on other people's shows","Repool sees the actual economics of launching a hedge fund across many emerging managers - what it costs, what breaks, which launches survive. Aspiring managers are an identifiable, high-value audience searching for exactly that information, and they will not find it from incumbents whose business depends on opacity. Two podcast appearances prove he can tell it; none of it is on his own feed.",Industry-first platform launch and senior fund-administration hires,Kevin sees what launching a hedge fund actually costs and which launches survive - information incumbent administrators have every reason to keep opaque. Aspiring managers search for exactly that. He has already told parts of it on two podcasts; none of it is on his own feed.,"TAM: Confirmed; Fintech software / vertical SaaS (hedge fund administration) sold to Emerging hedge fund managers and existing investment firms launching and administering funds. Size: 11-50 (confidence Low). HQ: San Francisco, CA, United States (Medium). Ability to pay: Probable. Buyer: Co-Founder & CEO, Founder-CEO, operational.","penalties applied: employee count unverified (-10); dual-site SF and NY (-5); employee count not independently verified; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL captured,2026-09-14,https://www.linkedin.com/in/kevinfu93/,https://www.prnewswire.com/news-releases/repool-takes-on-incumbent-fund-administrators-with-seasoned-hires-and-industry-first-platform-302214397.html | https://www.workatastartup.com/companies/repool | https://borninsiliconvalley.podbean.com/e/modernizing-hedge-funds-a-conversation-with-kevin-fu-of-repool-1719250227/,"Y Combinator S21, founded 2021, offices in San Francisco and New York so the primary site is recorded at Medium confidence. Headcount not established publicly. Founder LinkedIn URL is directly evidenced and Kevin Fu already appears on multiple podcasts, so willingness to talk publicly is proven."
42,B,76,Tenovos,tenovos.com,https://tenovos.com,https://www.linkedin.com/company/tenovos,D. Scott Bowen,D.,Bowen,Chief Executive Officer,unverified,"New York, NY","New York, NY, United States",US-based (High confidence),38 (Jun 2026),11-50,1M-5M (vendor estimate),$25.2M over 3 rounds,active,Confirmed B2B SaaS,High confidence: Confirmed B2B SaaS. Data-first digital asset management platform for enterprise brands.,Confirmed: $25.2M raised including a $10M Series B; enterprise DAM sold to large brands on substantial annual contracts,"Digital asset management - co-founded Artesia Technologies, an early DAM market leader acquired by OpenText; leadership roles at OpenText, Vistaprint and ICX Media",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Bowen helped create the DAM category in the 1990s, sold that company to OpenText, and is now building a second DAM company two decades later. A 25-year arc across one category is exceptionally rare founder material and directly supports a 'what DAM got wrong the first time' position that no competitor can claim.",unverified,"Scott helped create the DAM category, sold Artesia to OpenText, and has come back to build a second DAM company 20 years on. 'What we got wrong the first time' is a post only he can write, and it is nowhere in Tenovos's marketing.","TAM: Confirmed; Enterprise collaboration / data infrastructure (digital asset management) sold to Large enterprise brands managing digital assets at scale. Size: 11-50 (confidence High). HQ: New York, NY, United States (High). Ability to pay: Confirmed. Buyer: Chief Executive Officer, Non-founder CEO; founding strategic advisor to Tenovos; founder of Artesia Technologies.","penalties applied: buyer is a non-founder CEO (-5); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://tenovos.com/press/tenovos-appoints-scott-bowen-ceo/,https://tenovos.com/press/series-a1-funding/ | https://tracxn.com/d/companies/tenovos/__PzG9_PoI30Zch3vuSA1yf5tb3-CBqiuK1zJ7zNr2Bl8 | https://tenovos.com/about/,"Founded 2018 by Sal Hakimi and Matt Corodimas; D. Scott Bowen was appointed CEO in November 2019. Bowen is recorded as the primary buyer under the brief's rule 6 (non-founder CEO acceptable where no operational founder is evidenced and the CEO is a strong personal-branding prospect) - he was a founding strategic advisor to Tenovos, co-founded Artesia Technologies which OpenText acquired, and held leadership roles at OpenText and Vistaprint, which is a genuinely strong personal-brand base. Whether Hakimi or Corodimas remain operational is not established and should be checked."
43,B,76,Tiled,tiled.co,https://tiled.co,https://www.linkedin.com/company/tiled,Darrell Swain,Darrell,Swain,Founder & CEO,unverified,"San Diego, CA","San Diego, CA, United States",US-based (High confidence),estimated 25-100 - conflicting,11-50 (unresolved conflict),1M-5M (vendor estimate),$24.6M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. No-code platform turning existing creative assets into interactive microapps, integrating with the creative and work tools enterprises already use.",Confirmed: $24.6M raised; strategic partnerships with Seismic and Adobe; enterprise content teams on platform contracts,"Product-led growth, interactive content, no-code tooling; co-founded Lucidchart and led its growth from beta to hundreds of thousands of active users",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"A Lucidchart co-founder building a second company is a credential most founders would trade a lot for, and it is not being used. The PLG playbook he actually ran at Lucidchart - and what he chose to do differently the second time - is among the most sought-after content in B2B SaaS, and none of it is published.",Award wins and engagement growth,"Darrell co-founded Lucidchart and scaled it from beta to hundreds of thousands of users. Founders would queue up for that PLG playbook and what he changed on company two - and as far as the public record shows, he has never written it down.","TAM: Confirmed; Marketing technology / sales technology (interactive content) sold to Enterprise sales and marketing teams building interactive content. Size: 11-50 (unresolved conflict) (confidence Low). HQ: San Diego, CA, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","penalties applied: unresolved employee conflict (-10); employee count not independently verified; founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.tiled.co/newsroom/tiled-closes-13-7-million-series-a-funding-round,https://www.crunchbase.com/organization/tiled | https://www.businesswire.com/news/home/20200915005343/en/Tiled-Expands-Partner-Ecosystem-to-Further-Unleash-Creative-Storytelling-With-Interactive-Content | https://www.owler.com/company/tiled,"Employee estimate spans 25-100, which straddles the ceiling - recorded as an unresolved conflict and penalised rather than resolved. Founded 2016 in San Diego by Darrell Swain with James Gentry, Jeremiah Simpson and Matthew Simpson. Swain's prior role as a Lucidchart co-founder who scaled it from beta to hundreds of thousands of users is exceptional founder-brand raw material."
44,B,75,Ratio,ratiotech.com,https://ratiotech.com,https://www.linkedin.com/company/ratio-tech,Mason Blake,Mason,Blake,Co-Founder & CTO,unverified,"San Francisco, CA","San Francisco, CA, United States",US-based (High confidence),10 as of Sep 2022 (stale); dataset reports 41,"11-50 (unverified, evidence is stale)",5M-10M (vendor estimate),$411M announced at emergence ($11M venture plus a $400M credit facility); a further $15.8M venture and $100M debt in April 2026,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Combines payments, financing and pricing in one platform for SaaS companies, letting vendors offer flexible subscription terms while being paid upfront.","Confirmed: Substantial venture equity plus a $400M credit facility; the business itself finances SaaS receivables, so capital access is the product","Marketplace and B2B platform engineering; co-founded UpCounsel, served as CTO then CEO, and exited the company to LinkedIn",Unknown,unverified,A technical co-founder who became CEO and then sold the company to LinkedIn has a genuinely rare arc - the CTO-to-CEO transition is something engineers ask about constantly and almost nobody who has done it writes about.,$15.8M venture and $100M debt raised in April 2026 (2026-04),"Mason went from CTO to CEO at UpCounsel and then sold it to LinkedIn. Engineers ask constantly what that transition actually requires, and almost nobody who has made it writes about it. That is his alone.","TAM: Confirmed; Fintech software / revenue operations (SaaS payments and financing) sold to B2B SaaS and technology companies structuring subscription payments, pricing and financing. Size: 11-50 (unverified, evidence is stale) (confidence Low). HQ: San Francisco, CA, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder & CTO, Co-founder, operational.","penalties applied: employee evidence stale and unverified (-10); employee count not independently verified; founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://techcrunch.com/2022/09/15/ratio-saas-subscription-payment/,https://www.ratiotech.com/about | https://www.preqin.com/data/profile/asset/ratio-technologies--inc-/508343,"Headcount is the weak point: the only public figure is 10 employees as of September 2022, which predates two funding rounds, while the dataset reports 41. Recorded at Low confidence and penalised accordingly. The founder bench is exceptional: Ashish Srimal (CEO) held executive roles at SAP and Medallia and previously founded and led SmarterMe; Mason Blake (CTO) co-founded UpCounsel, served as its CTO and then CEO, and exited the company to LinkedIn. Ratio's own buyers are B2B SaaS founders and CFOs, which makes founder-led content unusually well targeted here."
45,B,75,Treasury4,treasury4.com,https://treasury4.com,https://www.linkedin.com/company/treasury4,Ed Barrie,Ed,Barrie,"Co-Founder, Chief Product Officer & Treasurer",unverified,"Spokane, WA","Spokane, WA, United States",US-based (High confidence),41 (Jun 2026),11-50,1M-5M (vendor estimate),$25.98M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Cloud treasury data and analytics platform for corporate treasury operations - entity, cash, debt and investment data management.",Confirmed: $25.98M raised including a $20M Series A led by WestCap; corporate treasury departments on enterprise contracts,unverified,Unknown,unverified,"A practising treasurer building treasury software - he is simultaneously the buyer and the builder, which is an unusually credible position in this category.",$20M Series A led by WestCap (2023-09-12),Ed is both Chief Product Officer and the company's own Treasurer - he uses what he builds. Practitioner-builders are the most trusted voices in finance software and almost none of them post.,"TAM: Confirmed; Financial operations (corporate treasury management) sold to Corporate treasury and finance teams. Size: 11-50 (confidence High). HQ: Spokane, WA, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder, Chief Product Officer & Treasurer, Co-founder, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.businesswire.com/news/home/20230912157405/en/Treasury4-Raises-%2420-Million-in-Series-A-Funding-Led-by-WestCap,https://www.treasury4.com/company/about-treasury4/ | https://tracxn.com/d/companies/treasury4/__UBpH12QCrui4E5W9lsUq4o0zwlPW2ywtr3nPAk3XNMM | https://www.linkedin.com/pulse/treasury4-story-treasury4,"41 employees, three founders all in operating roles, $20M Series A from WestCap, and a Spokane rather than coastal base. Notably the company already publishes 'The Treasury4 Story' as a multi-part series including on LinkedIn, so appetite for narrative content is proven - it is just company-voiced rather than founder-voiced."
46,B,75,Videate,videate.io,https://videate.io,https://www.linkedin.com/company/videate,Ryan Arnett,Ryan,Arnett,Chief Executive Officer,https://www.linkedin.com/in/ryan-arnett-37b9196/,"Austin, TX","Austin, TX, United States",US-based (High confidence),dataset 11-50; not contradicted,11-50,1M-5M (vendor estimate),"Venture-backed by S3 Ventures, Tensility Venture Partners, Firebrand Ventures, Wavemaker Group, AI Sprouts VC",active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Turns documentation and scripts into software videos using AI, robotic process automation and text-to-speech, with videos auto-updated each release and localised into multiple languages.",Probable: Multiple institutional investors including S3 Ventures; enterprise SaaS customers using video automation at scale,"SaaS go-to-market and customer success; prior leadership at OpenGov, DocSend, TOPO Research and Advisory, and Meltwater",Moderate content gap - writes bylined company-blog pieces; LinkedIn cadence not inspectable,"Moderate - writes, but under the company banner and on product themes","Arnett's background at TOPO and DocSend gives him unusual standing on SaaS go-to-market research, and he now runs a company automating the content layer of customer success. The argument that documentation is becoming video by default is a category thesis he can own personally rather than as company marketing.",Generative AI video editor launch,"Ryan already writes for the Videate blog and carries TOPO and DocSend on his record, but the posts read as product marketing. Taking over from a retiring founder-CEO and betting the company on generative video is a personal story with a category thesis attached - neither is being told.","TAM: Confirmed; Artificial intelligence / productivity software (video automation) sold to SaaS companies producing product and customer-success video at scale. Size: 11-50 (confidence Low). HQ: Austin, TX, United States (High). Ability to pay: Probable. Buyer: Chief Executive Officer, Non-founder CEO.","penalties applied: employee count low confidence (-10); CEO is not a founder (-5); employee count not independently verified; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL captured,2026-09-14,https://www.videate.io/about,https://blog.videate.io/how-video-transforms-customer-success-in-saas-ryan-arnett-videate-ceo | https://www.s3vc.com/videate | https://www.prnewswire.com/news-releases/videate-surges-ahead-with-strong-momentum-accelerating-growth-and-innovation-in-generative-ai-302153068.html,"Founded 2019 in Austin. Co-founder CEO Mark Hellinger retired and now chairs the board; Ryan Arnett was appointed CEO. Co-founder Dave Gullo, inventor of the technology and previously co-founder/CTO of VideoAmp, remains. Both Arnett and Gullo are credible buyers - Arnett already publishes bylined pieces on the company blog."
47,B,74,Ambassador Software,getambassador.com,https://getambassador.com,https://www.linkedin.com/company/getambassador,Jeff Epstein,Jeff,Epstein,CEO,unverified,"Seattle, WA","Seattle, WA, United States",US-based (High confidence),"39 (Datanyze) vs ~51 (LeadIQ, Jul 2025)",11-50 (conflicting sources),$4.3M ARR (GetLatka),Bootstrapped (GetLatka),active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Enterprise referral marketing platform automating referral tracking, attribution, reward fulfilment and fraud prevention.",Confirmed: Bootstrapped and profitable-shaped at ~$4.3M ARR with 225+ enterprise brands and 375 customers; enterprise referral platform with real contract values,"Referral and advocacy marketing, enterprise growth",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Ambassador is bootstrapped in a category where competitors are venture-funded and loud. The economics of building an enterprise martech product without VC, and what 225 brands reveal about why referral programmes fail, are both differentiated and unclaimed positions.",AI-powered repositioning of the referral platform (2026),"Ambassador reached roughly $4.3M ARR bootstrapped in a category full of funded competitors - a contrarian operating story that the company's own marketing never tells, because the site sells the product rather than the point of view behind it.","TAM: Confirmed; Marketing technology (referral marketing) sold to Enterprise and mid-market B2C/B2B brands running referral and advocacy programmes. Size: 11-50 (conflicting sources) (confidence Medium). HQ: Seattle, WA, United States (High). Ability to pay: Confirmed. Buyer: CEO, CEO (founder status not confirmed).","penalties applied: employee conflict unresolved (-10); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://getlatka.com/companies/getambassador.com,https://www.zoominfo.com/c/ambassador-software/371651843 | https://getambassador.com/referralmarketing | https://www.linkedin.com/company/getambassador,"Founder status needs confirmation - sources identify Jeff Epstein as CEO and Chase Lee as co-founder & CTO. || Employee count conflicts across aggregators: Datanyze 39, LeadIQ ~51 as of Jul 2025. Kept as Qualified because the lower estimate sits inside the band and the upper is marginal, but flagged. Bootstrapped status is a positive ability-to-pay signal here rather than a negative: no investor content machine, revenue funds discretionary spend."
48,B,74,Giftpack,giftpack.ai,https://giftpack.ai,https://www.linkedin.com/company/giftpack,Archer Chiang,Archer,Chiang,Founder & CEO,unverified,"New York, NY","New York, NY, United States",US-based (Medium confidence),not established; dataset 11-50,11-50 (unverified),1M-5M (vendor estimate),$4.3M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. AI-powered corporate gifting platform using a personality-driven matching model to select gifts from a 3.2M SKU catalogue, shipping across 220 countries.","Probable: $4.3M raised with enterprise customers including Google, J.P. Morgan Chase, Meta and Zappos; corporate gifting spend flows through the platform at scale","Corporate gifting, AI personalisation, cross-border commerce, employee retention",Moderate content gap - publishes Forbes Business Council posts; LinkedIn cadence not inspectable,"Moderate - already writing for Forbes, but the output is generic council-style content rather than a distinctive founder argument","Chiang already writes Forbes council pieces, so voice and willingness exist - they are just generic. The sharper material is sitting unused: what gifting data across Google, JPMorgan and Meta reveals about employee retention, and the immigrant founder story of building a cross-border company through COVID.",Forbes Business Council publication and seed round,"Archer already writes for Forbes but it reads like every other council post. He is sitting on gifting data from Google, JPMorgan and Meta - what actually moves employee retention - which is a specific, defensible argument that generic thought-leadership format is wasting.","TAM: Confirmed; HR technology / marketing technology (corporate gifting) sold to Enterprise HR, customer success and sales teams sending gifts to employees and clients. Size: 11-50 (unverified) (confidence Low). HQ: New York, NY, United States (Medium). Ability to pay: Probable. Buyer: Founder & CEO, Founder-CEO, operational.","penalties applied: employee count unverified (-10); employee count not independently verified; founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://councils.forbes.com/profile/Archer-Chiang-Founder-CEO-Giftpack/fcf01d67-464a-41fc-8a79-54b47d4f7ba9,https://www.alleywatch.com/2023/09/giftpack-corporate-gifting-platform-ai-client-employee-archer-chiang/ | https://vendordirectory.shrm.org/company/921049/news/3267945/revolutionizing-corporate-gifting-use-of-ai-technology-sets-giftpack-apart-from-competitors,"Founded 2016 by Archer Chiang, originally in Silicon Valley and now based in New York. Enterprise logos are unusually strong for the funding level. Headcount could not be established - CB Insights reports only executives. Chiang already publishes through the Forbes Business Council, which proves willingness to write."
49,B,74,Kickfin,kickfin.com,https://kickfin.com,https://www.linkedin.com/company/kickfin,Justin Roberts,Justin,Roberts,Co-Founder & Co-CEO,unverified,"Austin, TX","Austin, TX, United States",US-based (High confidence),dataset 11-50; not contradicted by public sources,11-50,1M-5M (vendor estimate),~$11M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Instant tip payout platform: auto-calculates tip pools from POS data and sends payouts straight to employees' bank accounts, removing cash from tip distribution.","Confirmed: $11M raised; $2B+ in tips processed for 250,000+ hospitality workers; thousands of operators as paying customers","Hospitality fintech, payments operations",Unknown on LinkedIn; appeared in Cali BBQ Media interview,Moderate,"The co-CEO structure is itself unusual and rarely explained well; paired with the operational story of moving $2B in real-time payouts, it is strong founder material.","Shipped RPOWER POS and Union POS integrations in 2025, the latter aimed at bars and nightclubs (2025)","Justin has spoken alongside Brian about modernising hospitality tip payments, but shares a single interview footprint with his co-CEO. A distinct operational point of view - what running real-time payouts at scale actually demands - would separate the two voices.","TAM: Confirmed; Fintech software / vertical SaaS (hospitality payments) sold to Restaurant, bar and hospitality operators - multi-unit and enterprise groups. Size: 11-50 (confidence Medium). HQ: Austin, TX, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder & Co-CEO, Co-founder, operational.","penalties applied: probable internal content support (-5 partial); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.pymnts.com/restaurant-innovation/2023/kickfin-ceo-says-digital-tipping-and-instant-payouts-help-restaurants-fight-economic-headwinds/,https://content.calibbq.media/justin-roberts-and-brian-hassan-on-kickfins-mission-to-modernize-hospitality-tip-payments/ | https://restaurant-strategy-1.castos.com/episodes/the-future-of-tipping-with-kickfin-co-founder-brian-hassan | https://kickfin.com/success-stories/ | https://www.g2.com/products/kickfin/reviews,"Founded 2017 in Austin by best friends and repeat entrepreneurs Brian Hassan and Justin Roberts, who run the company as Co-CEOs. Both already appear on hospitality podcasts, which is a strong signal of willingness to do founder-led content and of existing raw material that is not being repurposed."
50,B,74,Rill Data,rilldata.com,https://rilldata.com,https://www.linkedin.com/company/rilldata,Nishant Bangarwa,Nishant,Bangarwa,Co-Founder & Head of Engineering,unverified,"San Francisco, CA","San Francisco, CA, United States",US-based (High confidence),35 (Jun 2026),11-50,"$3.6M (2023, GetLatka)",$12M-$13.8M (sources conflict),active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Operational BI platform combining last-mile ETL, an in-memory database and fast operational dashboards.",Confirmed: $3.6M revenue on a 35-person team with $12M+ raised; operational BI sold to data teams on recurring contracts,Distributed analytics databases; co-built the Metamarkets database open-sourced as Apache Druid,Unknown,unverified,Deep technical authority on real-time OLAP internals from an Apache Druid contributor - a small but highly engaged engineering audience with very few senior voices.,unverified,"Nishant's authority is Druid internals and real-time OLAP. That audience is small but intensely engaged, and it has almost no senior practitioners publishing.","TAM: Confirmed; Data infrastructure / analytics (operational BI) sold to Data and analytics teams needing fast operational dashboards. Size: 11-50 (confidence High). HQ: San Francisco, CA, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder & Head of Engineering, Co-founder, operational.","penalties applied: funding figures conflict (-5); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.rilldata.com/team,https://techcrunch.com/2022/08/04/rill-wants-to-rethink-bi-dashboards-with-embedded-database-and-instant-ux | https://getlatka.com/companies/rilldata.com | https://tracxn.com/d/companies/rill/__CnrOG8Tyf_JcPV6bDiakgicSqZKgZcoMEbSZfpRe1CY,"35 employees, both co-founders operational, San Francisco. The founder credential is exceptional for a data-infrastructure company: at their previous company Metamarkets, Driscoll and Bangarwa built the database that was open-sourced as Apache Druid, which is now a widely deployed analytics engine. Founding an open-source project that the industry adopted is close to the strongest possible authority in this category."
51,B,74,VERITUITY,verituity.com,https://verituity.com,https://www.linkedin.com/company/verituity,Chris Smith,Chris,Smith,Co-Founder & COO,unverified,"McLean, VA","McLean, VA, United States",US-based (High confidence),27 (May 2026),11-50,5M-10M (vendor estimate),$30.0M across 2 rounds,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Payout platform delivering verified B2B and B2C payments for banks and enterprises, with confidence-based verification at the point of payout to cut fraud risk and optimise payout economics.",Confirmed: $30M raised from institutional fintech and security investors; banks and enterprises on payout-platform contracts with per-transaction economics,"Data and security product operations; Verisign, Interos and Iron Mountain background",Unknown,unverified,"Operational view of running verification infrastructure that banks depend on - uptime, accuracy and the cost of being wrong, which is a different and more concrete story than the category thesis.",Advanced confidence-based verification at the point of payout (March 2026) (2026-03-11),"Chris runs the operations behind verification banks actually depend on. What it costs to be wrong once, at scale, is a concrete operator story distinct from the CEO's category argument.","TAM: Confirmed; Fintech software (verified payouts) sold to Banks and enterprises issuing B2B and B2C payouts. Size: 11-50 (confidence High). HQ: McLean, VA, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder & COO, Co-founder, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.businesswire.com/news/home/20260311039649/en/Verituity-Advances-Confidence-Based-Verification-at-the-Point-of-Payout,https://forgepointcap.com/perspectives/verituity-transforming-protecting-and-accelerating-digital-payouts/ | https://tracxn.com/d/companies/verituity/__VPaFydAukmZ26RN5fSxRkhakZFKUpfikFREECtWQdHg | https://verituity.com/verituitys-founder-and-ceo-ben-turner-on-building-an-intelligent-payouts-solution-with-code-story/,"27 employees, both co-founders operational, $30M raised, McLean VA. Founders are security and data veterans from Verisign, Interos and Iron Mountain who commercialised products for Fortune 500 customers - credible authority in a category (payment fraud) where the subject matter is permanently newsworthy. Ben Turner has already done a Code Story long-form interview, so the raw material exists."
52,B,74,Voltaiq,voltaiq.com,https://voltaiq.com,https://www.linkedin.com/company/voltaiq,Eli Leland,Eli,Leland,CTO & Co-Founder,unverified,United States,"Berkeley, CA, United States",US-based (High confidence),32,11-50,5M-10M (vendor estimate),$12M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Enterprise battery intelligence platform: battery-specific data model, analytics and AI agents for developing, producing and optimising batteries and battery-powered products.","Confirmed: $12M raised, Fortune 500 and OEM customers, enterprise demo-led platform, est. revenue 5M-10M",Mechanical engineering PhD UC Berkeley; previously deployed large-scale enterprise software at Trilogy Software,Unknown - LinkedIn not inspectable,unverified,"Technical-founder angle on making battery data AI-ready - a concrete engineering problem with an opinionated answer, and a rare combination of enterprise-software delivery experience and battery research.",Repositioned to an AI platform - 'Virtual battery engineers' AI agents and MaximaOS-style AI acceleration now lead the homepage (2026),Eli owns the battery-specific data model that makes Voltaiq's AI claims defensible. The 'why generic AI fails on battery data' argument is his to make and nobody at the company is making it publicly.,"TAM: Confirmed; Data infrastructure / analytics (battery intelligence) sold to Enterprise and mid-market battery, EV, consumer electronics and energy storage manufacturers. Size: 11-50 (confidence Medium). HQ: Berkeley, CA, United States (High). Ability to pay: Confirmed. Buyer: CTO & Co-Founder, Co-founder, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.voltaiq.com/about,https://sjfventures.com/sjf-invests-in-6-6-million-series-a-for-voltaiq/ | https://tracxn.com/d/companies/voltaiq/__og8wGgAjLZiqi1k4vMdYJxtIPN27TO00BzFj4Tf3XqQ | https://www.voltaiq.com/,"Secondary buyer - technical co-founder, less commercially visible than the CEO. || Founded 2012 in New York City; press release datelined Berkeley CA and Brooklyn NY, so HQ is dual-sited - Berkeley recorded as primary. Founder LinkedIn activity could not be inspected (LinkedIn is not reachable from this environment), so founder activity fields are unverified and scored conservatively."
53,B,73,Maven Machines,mavenmachines.com,https://mavenmachines.com,https://www.linkedin.com/company/maven-machines,Avishai Geller,Avishai,Geller,Founder & CEO,unverified,"Pittsburgh, PA","Pittsburgh, PA, United States",US-based (High confidence),not established by search; dataset 11-50,11-50 (unverified),10M-25M (vendor estimate),$7M+,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Trucking operations platform: dispatch, route planning and optimisation, fleet management, ELD/telematics and workflow tools.",Confirmed: $7M Series A from institutional investors; enterprise fleet customers such as PITT OHIO; ELD/telematics contracts carry meaningful value,"Fleet telematics, trucking operations, ELD compliance, route optimisation",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Trucking is mid-cycle through an operations-software shift driven by ELD mandates, driver shortages and freight-rate volatility. A founder whose platform runs dispatch and telematics for carriers like PITT OHIO has concrete operating data behind opinions that the freight-media commentary layer does not.",PITT OHIO deployment as P&D and ELD/telematics platform,"Maven runs dispatch and telematics for real carriers, so Avi can settle freight-industry arguments with operating data rather than opinion - particularly on driver workflow and retention, where trucking media runs on anecdote. None of that data-backed point of view is public.","TAM: Confirmed; Logistics technology / supply-chain software sold to Trucking fleets and transport operators - mid-market to enterprise. Size: 11-50 (unverified) (confidence Low). HQ: Pittsburgh, PA, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","penalties applied: employee count unverified (-10); funding round is older (2020); employee count not independently verified; founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.businesswire.com/news/home/20200205005047/en/Maven-Machines-Raises-7-Million-Series-Funding,https://pittohio.com/myPittOhio/Contents/Item/Display/43527 | https://mavenmachines.com/,"Founded 2014 in Pittsburgh by Avishai (Avi) Geller, who remains founder-CEO. Headcount could not be established from public search and rests on the dataset band. Series A dates to 2020, so funding momentum is older - timing scored accordingly."
